depart_hr,second,rq_time,start (MGRA),end (MGRA),mode
8,3546,32346,1296,9352,SHARED3FREE
9,2025,34425,9352,1296,SHARED3FREE
14,638,51038,9409,1290,DRIVEALONEFREE
13,2877,49677,1290,9421,WALK
14,753,51153,9421,1290,WALK
14,568,50968,9249,9304,TAXI
15,2074,56074,9304,9409,DRIVEALONEFREE
12,3321,46521,9280,9402,SHARED3FREE
10,2302,38302,9234,9333,TNC_SHARED
13,1073,47873,9277,9400,DRIVEALONEFREE
13,3061,49861,9400,9310,DRIVEALONEFREE
9,3132,35532,9327,9414,SHARED3FREE
15,2057,56057,9358,9251,SHARED3FREE
12,1888,45088,9358,9397,SHARED3FREE
18,496,65296,9414,9414,TAXI
16,1425,59025,9397,9421,DRIVEALONEFREE
15,2982,56982,9430,9242,SHARED2FREE
13,701,47501,9319,1293,DRIVEALONEFREE
8,409,29209,9388,9445,WALK_TRANSIT
17,1634,62834,9445,9410,WALK_TRANSIT
7,970,26170,1334,9328,WALK
15,595,54595,9328,1334,WALK
8,1983,30783,9287,9403,SHARED3FREE
14,2628,53028,9317,1386,WALK
14,2123,52523,1386,9317,DRIVEALONEFREE
13,2032,48832,9384,948,DRIVEALONEFREE
13,338,47138,948,9384,DRIVEALONEFREE
18,1986,66786,9239,1293,SHARED2FREE
13,1012,47812,9398,9394,WALK_TRANSIT
17,2875,64075,1288,9424,WALK
22,2850,82050,9424,1293,SHARED2FREE
